,name,12_months,6_months,3_months,1_month
0,3CX,45,45,45,47
1,4MLinux,233,238,238,307
2,AIO,34,35,36,37
3,ALT,79,82,82,85
4,AUSTRUMI,111,86,62,105
5,AV Linux,131,132,206,119
6,Absolute,77,65,65,66
7,Alpine,261,319,292,268
8,Android-x86,206,207,205,208
9,Arch,570,577,568,565
10,ArchBang,163,193,253,274
11,ArchLabs,189,189,151,170
12,Archman,287,295,245,209
13,ArcoLinux,486,564,617,705
14,Artix,131,140,141,149
15,Arya,64,38,39,39
16,Asianux,30,30,31,36
17,BOSS,20,29,30,30
18,BSDRP,44,60,92,107
19,BackBox,152,164,163,251
20,Baruwa,24,24,26,26
21,Bedrock,29,57,116,49
22,BeeFree,34,33,34,34
23,Berry,51,67,36,35
24,Bicom,67,99,112,107
25,BigLinux,37,37,38,37
26,Bio-Linux,32,31,32,33
27,BitKey,22,22,22,25
28,BlackArch,149,155,188,325
29,BlankOn,30,28,29,30
30,BlueOnyx,27,27,28,30
31,Bluestar,226,205,221,276
32,Bodhi,229,186,177,169
33,BunsenLabs,140,128,129,136
34,CAELinux,55,79,34,35
35,CAINE,53,39,38,39
36,CRUX,72,100,157,318
37,Calculate,129,129,112,113
38,Canaima,25,25,26,28
39,CentOS,601,598,606,600
40,Chakra,121,183,130,144
41,Clear,78,109,126,158
42,ClearOS,195,219,273,239
43,ClonOS,58,76,38,38
44,Clonezilla,153,153,152,150
45,CloudReady,34,30,30,31
46,Clu,26,26,26,27
47,Condres,88,177,212,288
48,Container,115,115,94,119
49,Cucumber,40,30,31,31
50,DEFT,35,35,35,36
51,DRBL,20,20,21,21
52,Daphile,31,31,32,34
53,Debian,1206,1297,1300,1294
54,Debian Edu,34,34,34,36
55,Devuan,203,196,192,191
56,DietPi,30,29,29,31
57,DragonFly,167,179,220,335
58,Dragora,33,34,34,37
59,DuZeru,38,27,28,29
60,EasyNAS,41,46,54,89
61,EasyOS,55,110,51,49
62,Elastix,45,61,55,108
63,Elive,130,144,139,89
64,Emmabuntüs,141,158,164,119
65,Endian,27,27,27,27
66,Endless,288,272,216,353
67,Enso,79,104,184,504
68,ExTiX,157,161,123,71
69,Exe,53,76,36,38
70,Exherbo,31,31,32,33
71,Fatdog64,120,207,166,101
72,Fedora,949,1037,1143,944
73,Feren,193,179,231,143
74,FreeBSD,392,362,388,551
75,FreeNAS,93,61,48,47
76,FreePBX,23,23,25,25
77,Freespire,31,30,31,32
78,FuguIta,45,62,78,33
79,Funtoo,70,94,52,54
80,GNUstep,26,27,27,28
81,GParted,90,91,128,245
82,Gecko,82,52,52,57
83,GeeXboX,31,58,82,32
84,Gentoo,224,238,240,241
85,GhostBSD,212,230,232,156
86,Greenie,45,24,24,26
87,Grml,40,57,27,29
88,GuixSD,106,104,171,172
89,Haiku,145,135,127,124
90,Hamara,25,25,26,27
91,Hanthana,2,3,5,14
92,HardenedBSD,118,135,127,143
93,Hyperbola,60,46,45,46
94,IPFire,79,89,92,87
95,KANOTIX,36,39,39,40
96,KDE neon,573,606,573,543
97,KNOPPIX,168,172,168,163
98,KaOS,193,197,181,126
99,Kali,478,483,459,532
100,Karoshi,24,24,25,25
101,Kodachi,229,249,187,159
102,KolibriOS,54,55,54,56
103,Kubuntu,254,269,287,237
104,Kwort,33,44,66,150
105,LFS,58,61,46,46
106,LXLE,171,167,160,153
107,Lakka,51,58,43,43
108,Legacy,45,46,46,44
109,LibreELEC,117,142,104,83
110,LinHES,45,50,58,27
111,Linspire,45,34,33,34
112,LinuxConsole,51,46,44,41
113,Linuxfx,41,27,29,29
114,Liquid Lemur,25,24,24,26
115,Lite,444,429,435,339
116,Live Raizo,55,62,54,23
117,LliureX,27,27,28,29
118,Lubuntu,402,397,414,326
119,Lunar,38,38,38,39
120,MAX,26,26,27,29
121,MX Linux,3367,4620,5111,5386
122,Mageia,363,417,451,571
123,MakuluLinux,114,158,101,99
124,Manjaro,3534,3245,2921,2544
125,Maui,39,34,34,35
126,MidnightBSD,99,112,61,60
127,MiniNo,61,57,73,41
128,Minimal,32,33,33,34
129,Mint,2176,2095,2005,1920
130,MorpheusArch,51,35,35,37
131,NST,39,26,26,29
132,Namib,40,40,42,50
133,Neptune,145,97,79,46
134,NetBSD,87,81,117,205
135,NethServer,39,31,26,26
136,Netrunner,212,246,213,151
137,NexentaStor,24,24,25,26
138,Nitrux,249,251,215,215
139,NixOS,156,164,204,141
140,NomadBSD,90,142,134,86
141,Nova,19,29,28,29
142,NuTyX,142,177,135,72
143,OB2D,21,22,21,22
144,OLPC,36,50,23,24
145,OPNsense,71,73,36,37
146,OSGeo,49,23,23,25
147,OSMC,59,64,80,118
148,Obarun,74,94,153,148
149,Omarine,125,83,56,26
150,Omoikane,21,21,22,22
151,OpenBSD,146,148,173,136
152,OpenELEC,39,40,36,35
153,OpenIndiana,78,76,111,53
154,OpenMandriva,146,231,245,322
155,OpenMediaVault,58,74,103,54
156,Openwall,24,25,25,26
157,Oracle,133,134,166,124
158,OviOS,40,57,24,25
159,PCLinuxOS,413,474,512,643
160,PLD,24,24,25,26
161,Parabola,101,87,77,71
162,Pardus,77,71,44,39
163,Pardus Topluluk,30,23,23,24
164,Parrot,442,495,497,455
165,Parted Magic,38,37,36,39
166,Peach OSI,48,33,21,54
167,Pearl,40,40,41,42
168,Pentoo,33,33,34,34
169,Peppermint,388,409,418,457
170,Photon,27,28,27,28
171,Pinguy,119,78,78,44
172,Pisi,39,30,31,32
173,Plamo,36,45,64,40
174,Plop,40,53,80,30
175,Pop!_OS,304,360,500,469
176,Porteus,93,88,107,196
177,Porteus Kiosk,44,52,26,26
178,Poseidon,17,33,33,32
179,PrimTux,39,25,25,24
180,Proxmox,58,60,90,32
181,Puppy,353,397,473,365
182,PureOS,98,109,104,111
183,Q4OS,271,292,294,301
184,Qubes,150,160,120,118
185,RDS,21,21,22,24
186,RISC,31,31,31,33
187,ROSA,157,186,168,141
188,RSS,25,26,26,28
189,RancherOS,62,93,66,138
190,Raspbian,121,104,103,54
191,ReactOS,609,637,584,526
192,RebeccaBlackOS,54,57,84,34
193,Red Hat,249,250,299,289
194,Redcore,112,90,50,50
195,Refracta,56,71,31,31
196,Rescatux,42,58,89,32
197,Robolinux,166,156,162,168
198,Rocks Cluster,24,25,26,28
199,Rockstor,34,35,34,35
200,Runtu,69,65,92,38
201,SELKS,44,42,24,25
202,SME Server,23,23,24,24
203,SUSE,92,88,109,66
204,Sabayon,159,187,241,147
205,SalentOS,37,38,41,42
206,Secure-K,37,31,31,32
207,Securepoint,25,25,24,26
208,Septor,94,189,167,236
209,Shark,51,49,28,29
210,Slackel,52,60,36,36
211,Slackware,318,328,330,334
212,Slax,192,185,154,121
213,SliTaz,65,64,62,62
214,SmartOS,345,334,334,345
215,Smoothwall,25,25,25,25
216,Solaris,58,61,62,62
217,Solus,884,1061,1091,1115
218,SolydXK,103,85,56,49
219,Sophos,29,30,29,31
220,Source Mage,28,29,30,30
221,SparkyLinux,343,341,314,303
222,Springdale,26,27,28,30
223,Star,70,45,40,39
224,SteamOS,135,137,138,132
225,Stella,30,29,30,30
226,Subgraph,38,39,38,42
227,SuliX,22,22,23,24
228,Super Grub2,42,39,51,25
229,SuperGamer,36,36,36,35
230,SuperX,37,73,145,40
231,SwagArch,160,157,151,103
232,SystemRescue,78,88,46,45
233,T2,28,28,28,30
234,TENS,46,57,77,162
235,Tails,307,323,321,332
236,TalkingArch,24,24,25,27
237,Thinstation,39,29,29,34
238,Tiny Core,139,146,143,140
239,ToOpPy,22,22,23,23
240,Toutou,36,37,37,39
241,Trident,96,192,224,280
242,Trisquel,129,135,135,135
243,TrueOS,257,211,190,182
244,TurnKey,41,24,24,26
245,UBOS,37,28,29,31
246,UBports,108,89,64,46
247,Ubuntu,1398,1487,1515,1305
248,Ubuntu Budgie,170,174,196,133
249,Ubuntu DP,57,74,50,52
250,Ubuntu Kylin,384,321,321,174
251,Ubuntu MATE,307,311,306,236
252,Ubuntu Studio,152,163,183,121
253,Ultimate,239,215,236,155
254,Univention,53,43,29,23
255,Untangle,38,44,61,132
256,Uruk,23,23,24,25
257,Vector,130,133,132,128
258,VenenuX,23,24,24,24
259,Vine,31,31,31,33
260,Void,205,241,253,255
261,Volumio,29,37,51,106
262,Voyager,241,239,241,147
263,VyOS,109,91,75,37
264,WM Live,26,27,27,28
265,Webconverger,22,22,23,24
266,Whonix,79,92,52,47
267,Wifislax,41,41,40,41
268,XStreamOS,33,33,34,34
269,XigmaNAS,54,62,60,36
270,Xubuntu,295,312,333,257
271,YunoHost,26,25,24,24
272,Zentyal,40,30,30,31
273,Zenwalk,66,68,83,149
274,Zeroshell,31,30,30,31
275,Zevenet,45,67,52,29
276,Zorin,725,787,883,1093
277,antiX,561,686,703,813
278,batocera,39,36,36,37
279,blackPanther,62,41,42,41
280,deepin,602,771,878,780
281,elementary,1774,1529,1477,1415
282,openSUSE,799,870,894,1077
283,paldo,25,26,28,28
284,pfSense,54,45,42,44
285,siduction,75,55,54,55
286,tuxtrans,21,21,22,23
